"response_id","q1_relationship","q1_other_note","q2_years","q3_attractions","q3_other","q4_interests","q5_visits","q6_days","q7_reason","q7_other","q8_transport","q8_other","q9_migration","q10_engagement","q10_details","q11_skills","q11_other"
"1","⑤ 仕事","","③ 3～5年未満","① 自然|⑥ 人柄・土地柄|⑤ 特産品","","③ ご当地ニュース","④ 5～10回","⑤ 10～14日","⑤ 観光・イベント","","② 鉄道","","② 関心あり","⓪ 未定","","② 医療・介護",""
"2","⑥ 観光","","⑤ 10～15年未満","① 自然|④ 観光|② 都市機能","","④ 担い手募集","④ 5～10回","⑤ 10～14日","③ 仕事","","② 鉄道","","④ 特に希望しない","② 定期的な訪問","","⑤ 広報",""
"3","⑧ その他【自由記述】","学生時代のボランティア活動の拠点","⑨ 30年以上","⑧ 著名人・作品のゆかりがある|⑨ その他【自由記述】|① 自然","地元の温泉文化と食事が素晴らしい","① イベント","⑤ 11回以上","⑧ 30日以上","⑤ 観光・イベント","","③ 飛行機","","① 具体的に検討中","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","② 医療・介護",""
"4","⑥ 観光","","⑥ 15～20年未満","④ 観光|① 自然|② 都市機能","","④ 担い手募集","① 0回","⑧ 30日以上","① 帰省","","⑤ その他【自由記述】","高速バスの回数券を利用","④ 特に希望しない","③ 副業・ボランティア","IT・デジタル分野の技術支援 / 月4日程度","⑩ 農林水産",""
"5","⑦ ふるさと納税","","⑥ 15～20年未満","⑥ 人柄・土地柄|② 都市機能|① 自然","","① イベント","③ 2～4回","⑤ 10～14日","① 帰省","","④ 船舶","","③ いずれ検討する可能性がある","② 定期的な訪問","","③ 教育・保育",""
"6","① 住所地","","① 1年未満","","","","","","","","","","","","","⑧ 国際",""
"7","⑨ 特にない","","② 2～3年未満","⑨ その他【自由記述】|⑧ 著名人・作品のゆかりがある|④ 観光","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","④ 5～10回","④ 6～9日","④ 担い手活動","","④ 船舶","","② 関心あり","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑪ その他【自由記述】","データ分析および生成AIの活用"
"8","③ 居住経験","","④ 5～10年未満","⑦ 居住地との距離|⑨ その他【自由記述】|⑥ 人柄・土地柄","地元の温泉文化と食事が素晴らしい","② 地域の魅力","④ 5～10回","③ 3～5日","⑥ その他【自由記述】","伝統的な祭りに参加するため","① 自家用車","","① 具体的に検討中","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑨ 交通",""
"9","① 住所地","","③ 3～5年未満","","","","","","","","","","","","","② 医療・介護",""
"10","③ 居住経験","","② 2～3年未満","⑤ 特産品|④ 観光|⑨ その他【自由記述】","地元の温泉文化と食事が素晴らしい","③ ご当地ニュース","③ 2～4回","② 1～2日","④ 担い手活動","","① 自家用車","","④ 特に希望しない","② 定期的な訪問","","⑤ 広報",""
"11","③ 居住経験","","② 2～3年未満","⑤ 特産品|⑨ その他【自由記述】|⑦ 居住地との距離","地元の温泉文化と食事が素晴らしい","④ 担い手募集","③ 2～4回","③ 3～5日","④ 担い手活動","","② 鉄道","","② 関心あり","① 経済的な貢献","寄付額:50,000円 / 返礼品:有","⑤ 広報",""
